165,78
277,64
248,54
361,40
98,42
88,76
87,32
131,12
214,79
213,52
223,12
190,14
40,16
189,74
243,52
112,04
340,32
403,79
584,31
380,72
236,19
94,68
111,33
295,00
257,69
251,29
20,03
156,60
63,98
303,63
86,80
208,94
263,59
221,60
86,55
90,44
352,12
16,71
169,27
47,46
275,90
92,27
134,89
54,34
329,63
192,69
223,41
202,01
110,37
209,36
180,89
288,69
100,43
150,41
199,82
116,65
257,17
15,89
14,84
51,80
417,11
7,93
62,50
174,34
138,25
159,72
96,41
116,75
96,13
164,83
68,31
420,38
118,45
132,66
222,87
141,33
115,42
58,95
38,14
126,61
203,79
116,39
74,40
22,55
92,37
82,35
126,88
39,68
184,73
170,34
92,80
292,58
35,07
35,91
364,56
99,32
170,04
439,06
322,11
490,40
364,58
58,49
72,01
177,09
183,21
22,33
98,12
140,25
470,49
357,77
430,03
73,93
83,74
52,64
138,15
38,86
127,92
49,15
323,16
195,03
129,11
98,24
441,19
153,09
199,64
79,14
120,93
83,84
89,33
239,46
160,43
267,02
155,02
11,62
241,30
22,61
58,05
39,05
243,64
218,86
100,75
327,91
136,96
371,46
101,57
329,67
115,96
168,63
296,86
119,74
109,34
117,84
176,36
117,96
190,67
62,13
171,45
330,87
405,41
223,72
239,71
199,50
49,79
61,67
52,21
72,04
99,70
233,58
150,96
198,00
201,33
160,27
80,21
189,50
144,68
175,17
129,94
142,44
107,20
86,71
56,35
43,21
140,62
206,70
168,48
137,92
51,30
106,31
153,14
218,34
220,22
376,03
89,41
97,39
161,00
146,66
109,80
414,91
204,84
142,83
267,16
48,35
348,50
268,90
191,54
132,50
486,86
219,58
123,58
168,69
109,11
288,02
138,90
244,43
207,86
97,95
32,95
255,19
133,04
100,12
140,07
201,98
119,39
175,92
90,09
163,33
146,42
204,48
293,44
219,74
380,66
195,67
266,86
199,47
101,43
365,20
270,03
177,41
175,62
324,27
289,65
139,26
205,32
132,67
256,16
181,94
119,39
90,81
94,16
301,45
101,86
237,38
52,35
13,09
270,56
637,91
99,35
97,00
214,06
215,16
166,62
144,14
173,57
143,08
478,02
323,03
284,34
46,33
141,57
202,88
18,52
49,68
138,10
334,28
146,81
91,83
313,82
170,02
79,54
130,76
43,65
650,38
116,38
53,60
436,24
209,20
192,72
205,12
70,25
138,28
42,58
321,33
151,36
125,37
266,43
364,76
61,75
10,13
193,05
40,274
